"row_id","section","query_id","query_text","candidate_id","candidate_text","label","why_separate_or_note"
"1","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pp2tr","Building codes prohibiting trophy houses next to common housing","",""
"2","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pd3p9","Better parking around the square would draw in more college students who like to shop but can not find parking downtown.","",""
"3","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pgdt8","Consider asking low-income or disabled residents what they really need.","",""
"4","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p43af","It should be mandatory for all homes/businesses to have visible marking on mailbox and building for their address.","",""
"5","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","puuwd","Like Steamers but hate they ruined that historic building","",""
"6","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pptwk","There should be more cooperation between WKU and Bowling Green, especially for things like internships and community involvement.","",""
"7","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p8zq7","Build parking garage behind Spencer’s, remove some parking from Ft. Square. Add a green space on top of garage! Soccer field or rooftop food","",""
"8","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p7ms9","City/county parks should be focused on creating and maintain green places for residents to join.Avoid cement parking and adding buildings","",""
"9","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pqtft","Kentucky and Adams streets should be two-way roads. Adams St. should be zoned commercial, and Kentucky St. should be zoned residential.","",""
"10","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p3y2u","Greenwood Mall parking lot could become a cooperative solar collection for itself and home surrounding","",""
"11","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p8hra","Traffic flow needs to be improved throughout Bowling Green, especially on Scottsville Road.","",""
"12","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pj74t","Parking on the WKU campus should be more accessible to students and visitors.","",""
"13","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pf7ei","Connect business parking lots to reduce unnecessary traffic on main roadways","",""
"14","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","picqu","Make areas around WKU's campus livable for college students. Eliminating section 8 housing will lead to less crime & lower cost of attendance.","",""
"15","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p67wb","WKU should open its facilities to the public once or twice a month to the community, and those in need should be welcome more often.","",""
"16","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p5eg6","There needs to be better access to grocery stores and restaurants from WKU's campus.","",""
"17","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pgmpv","Something needs to be done to improve traffic flow","",""
"18","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pkta9","City officials need to work with WKU admin. to address the noise & public nuisance problems with the frat houses and homeowners downtown.","",""
"19","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pq3ad","More parking downtown. There are too many reserved spaces which should be available in the evening.","",""
"20","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pe262","WKU should upgrade their CIT program to keep up with the times","",""
"21","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pz3q2","WKU and local community colleges should continue to offer courses that interest those seeking an education, whether or not the courses aid in job placement.","",""
"22","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pxra8","Downtown at the square and adjacent areas should be a pedestrian mall","",""
"23","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pwy69","More sidewalks would be great, but first let’s stop people parking on them. Or stop spending money building them. Whichever.","",""
"24","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p89sh","Build parking areas.","",""
"25","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p5at5","Downtown redevelopment should retain accessible parking for existing businesses.","",""
"26","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","phc7j","Parking lots should be monitored to prevent illegal parking in handicap spaces.","",""
"27","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pkqjk","More parking for Fountain Square to become a pedestrian zone.","",""
